3235	fantasy elements
3236	non-genre satire
3237	romantic fantasy
3238	time loop
3239	paranormal
3240	space elevator
3241	cyber-conspiracy
3242	Wold Newton
3243	Spirit Possession
3244	business intelligenc
3245	supercomputers
3246	conspiracies
3247	techno-terrorism
3248	Mages
3249	Sentient plants
3250	Time machines
3251	Neanderthals
3252	Sabre tooth tigers
3253	Space ships
3254	Symbiotes
3255	Carnivorous plants
3256	Ice age
3258	Smart ships
3259	Young adult science 
3261	Body transfers
3262	Shamans
3263	young-adult ghost an
3264	ClaresonSFQ081953
3266	time-travel historic
3267	young-adult humorous
3268	young-adult time-tra
3269	Tolkien
3270	Juvenile horror
3271	opera
3272	new orleans
3273	african-american pro
3274	adult vampire
3275	alternate historical
3276	london
3277	female protagonist
3278	politics
3279	programmer
3280	california
3281	hard science fiction
3282	Bibliography
3283	Edgar Allen Poe
3285	juvenile fantasy
3286	aliens with wings
3287	theatrical reenactme
3288	live theater
3289	theater
3290	aliens believe in me
3291	claws on hands
3292	hands with dog toena
3293	aliens bestow questi
3294	dictatorship
3295	juvenile sf
3296	Traditional stories 
3297	Arthurian fantasy
3298	Bleiler78_a
3300	Bleiler78_L
3301	Mah-jong
6265	Rhysling Award Nomin
3303	Perry Rhodan
3304	wings
3305	paint
3306	glitter
3307	makeup
3308	cosmetics
3309	extinction
3310	extermination
3311	flying creatures
3312	refusal to communica
3313	communication gap
3314	flight
3315	either us or them
3316	endangered colony
3317	fried chicken
3318	restaurant
3319	selective breeding
3320	pgab
3321	pgam
3322	pgaa
3323	pgap
3324	pgag
3325	pgaz
3326	pgac
3327	pgas
3328	pgaw
3329	pgar
3330	pgal
3331	pgav
3332	pgak
3333	pgae
3334	pgah
3335	pgan
3336	short story
3338	pgad
3339	pgao
3340	water
3341	pgaq
3342	pgaf
3343	pgat
3344	pgaj
3345	fixup
3346	gbb
3347	gba
3348	pgai
3349	parallel worlds
3350	difficult space trav
3351	sliders
3352	interdimensional tra
3353	castle
3354	crash landing
3355	chased by the enemy
3356	given a language tut
3357	enfranchisement vers
3358	join or else
3359	standing before the 
3360	rescue girlfriend
3361	air cars
3362	ten day week
6188	Randall Garrett
3364	Acid Rain
3365	sleep
3366	medieval fantasy rom
3367	dolphin
3368	dolphins
3369	ai perspective
3370	terraforming
3372	historical fiction
3373	Librivox
3374	senior citizens
3375	social service progr
3376	transplanting brain 
3377	affirmative action
3378	government program
3379	infiltrating radical
3380	elderly citizens
3381	drug makes wrinkles
3382	scam
3383	altering age on id c
3384	young vs old
3385	spontaneous human co
3386	Heinlein Maneuver
3387	SCA-based
6187	pastiche
3389	AI
3390	map
3391	multi-species aliens
3392	frankenstein
3393	Parallel Time
3394	Time 
3395	Lucifer 
6264	Indonesia
3397	catowl
3398	mind control
3399	young-adult supernat
3400	science fiction, 
3401	futuristic
3402	sociological
3403	Flying Dutchman
3404	pre-cognition
3405	charm
6186	dieselpunk
3407	Films
3408	SF
3409	wireless telephone
3410	slasher
3411	succubus
3412	cannibalism
6185	astrology
3414	living tattoo
3415	dark carnival
3416	fairy tale
3417	erotic horror
3418	witch
3419	Historical fantasy r
3420	Young-adult werewolf
3421	manybooks
3422	coming of age
3423	dreams
3424	alternate reality
3425	multiverse
3426	apocalyptic
3427	infestation
3428	origins
3429	supernatural romance
3430	Locus Award Winner
3431	Newbery Award Winner
3432	eco-thriller
3433	libertarian science 
3434	Juvenile Fiction
3435	astral projection
3436	young-adult romance
3437	young-adult paranorm
3438	superpowers
3439	young-adult superher
3440	superhuman
3442	gay erotica
3443	non-genre humor
3444	sf criticism
3445	religious fantasy
3446	catastrophe
3447	time-travel fantasy
3448	oriental fantasy
3449	goddess
6553	teen historical fant
3451	angel
3452	celtic fantasy
3453	neo-nazis
3454	Horror in literature
6614	serial killers
3456	venus
3457	japanese
3458	absurdist fantasy
3459	rogues
3460	Riyria
3461	Sullivan
3462	obit
3463	Lilliputian
3464	Gargoyle
3465	Kelpies
3466	disaster
3467	bigfoot
3468	space station
3469	technomagic
3470	necromancer
3471	humourous
3472	occult horror
3473	zombie animals
3474	valkyries
3475	young-adult dark fan
3476	contemporary art
3477	non-fiction humor
3478	spiritualism
3479	juvenile humor
6182	carnivals
3481	hollywood
3482	non-fiction
3484	video games
3485	esp
3486	juvenile adventure
3487	satanism
3488	transmutation
3489	Company series
3490	Tarzan source
3491	bisexual
3492	Freemasons
3493	Hell
3494	Voodooism
3495	language
3496	reincarnation
3497	treasure
3498	hypnotism
3499	self-murder
3500	paradox
3501	introduction
3502	courtroom drama
3503	Lovecraftian
6181	science fact
6180	empaths
3507	paranormal suspense
3508	erotic sf
3509	paranormal erotica
3510	television
3511	game shows
3512	Britain
3513	sound
3514	deafness
3515	atlas
3516	antigravity
3517	lost world
3518	faeries
3519	gay romance
3520	concordance
3521	Christian allegory
3522	gothic fantasy
3523	humorous fantasy
3524	gothic mystery
6179	lesbian erotica
6178	curses
3527	mythological fantasy
3528	Interplanetary Patro
3529	Interplanetary Legio
3530	Mercury
3531	anti-gravity
3532	xenocide
3533	disintegrator ray
3534	Space egg
3535	Andes
3536	pre-Inca
3537	death ray
3538	lost city
3539	pacemaker
3540	wireless power
3541	energy relay
3542	semi-human dog peopl
3543	Martian Invasion of 
3544	eugenics board
3545	power catalyst
3546	time stasis
3547	coffee
3548	spinach
3549	bird people
3550	disintegrates
3551	time viewer
3552	future viewer
3553	love machine
3554	fourth-dimensional g
3555	human facsimilies
3556	microman
3557	time machine
3558	automatic food machi
3559	Antartica
3560	supercivilization
3561	flying suit
3562	natural language of 
3563	paranormal powers
3564	Disintegrator
3565	artificial wings
3566	paralyzation wand
3567	thought reading devi
3568	dinosaur movies
3569	space detective
3570	Earth-Mars Run
3571	social deviance surg
3572	lethal plants
3573	rocket plane
3574	animal tissue transp
3575	organ regeneration
3576	shrinking serum
3577	planetary detective
3578	thought transmitter
3579	thought control proj
3580	thought probe of dea
3581	rocket shoes
3582	solar system adventu
3583	end of sun
3584	giant dome cities
3585	circular time
3586	solar system regener
3587	artificial island
3588	unitary robot contro
3589	atomotors (flying ma
3590	atomic power
3591	air in space
3592	Lunarians
3593	elixir of immortalit
3594	fluid of life
3595	first moon voyage
3596	Martian attack
3597	heat rays
3598	green Martians
3599	dying Mars
3600	Mars attempting Eart
3601	aerial police
3602	disabling ray
3603	birth control
3604	Coal Sack
3605	giant insects
3606	silicon beings
3607	silicon ruler
3608	paralyzation ray
3609	underground race
3610	moving planets
3611	dome cities
3612	submen
3613	first spaceship
3614	Martians
3615	space mining
3616	platinum asteroid
3617	underground cities
3618	tripod walking machi
3619	space virus
3620	tidal power
3621	floating solar power
3622	eugenics bureau
3623	Plutonians
3624	atomic transformatio
3625	regulated gravity sp
3626	time capsule
3627	knowlede implantatio
3628	microscopic space se
3629	FTL communication
3630	exploration robots
3631	space flight to moon
3632	space tragedy
3633	force screen
3634	supermind
3635	thought monster
3636	stand still relativi
3637	asteroid sentients
3638	wind control
3639	weather control
3640	disintegration
3641	accidental time trav
3642	humaniform robot
6177	historical persons
3644	organ transplants
3645	etheric doubles
3646	Robert Asprin
3647	voodoo
3648	tarot cards
3649	swords
3650	French Quarter
3651	swashbuckling
3652	cults
3653	gods
3654	humaniform living ma
3655	radium motors
3656	petrifying liquid
3657	emotion machine
3658	electric duel
3659	dimensional mechanic
3660	fourth dimension
3661	geometrical rotation
3662	fourth-dimensional b
3663	eugenics
3664	strong emotions elim
3665	eugenics laws
3666	limp transplant
3667	muscle reading
3668	energy from air
3669	four-dimensional ste
3670	hyperstereoscope
3671	photon matter
3672	gigantism
3673	sub-atomic engineeri
3674	life creation
3675	photon ship
3676	fate calculation mac
3677	automated car
3678	automated housing
3679	autonomous machine
3680	machine leader
3681	central machine brai
3682	gigantic microscopic
3683	cultism
3684	Ganymede
3685	Callisto
3686	invisibility
3687	hunaniform robots
3688	entropy shell
3689	fourth dimensional t
3690	mechanical brain
3691	euthanasia
3692	boiling radium
3693	spaceship wreck
3694	paleoscope
3695	super speed
3696	Moon Calves
3698	comet tail space dri
3699	time paradox
3700	vampire plants
3701	flying submarine car
3702	mechanical statue
3703	hypnotic tube
3704	tissue creature
3705	traffic control
3706	maddened scientist
3707	space car
3708	reflected gravity dr
3709	cathode-ray death gu
3710	paralysis rods
3711	cosmic ray vision
3712	synthetic man
3713	Moon Empire
3714	Moonmen
3715	space monsters
3716	moon monsters
3717	invasion of Earth
3718	space algae
3719	moon metal
3720	machine cities
3721	gignatic space stati
3722	essence of life
3723	lost ruins
3724	exile city
3725	dragon people
3726	superscientific city
3727	vivasection
3728	great space brains
3729	living robot
3730	living machine
3731	tractor ray
3732	aerosubs
3733	disintegrating ray
3734	viewing apparatus
3735	magnetic force
3736	time shift
3737	immortality
3738	supernal genius
3739	disintegrated seas
3740	Earth invasion
3741	500 story buildings
3742	antigravity cars
3743	audiophone
3744	lethal tube
3745	disintegrating gas
3746	brain transplant
3747	disintegrator rays
3748	far-viewer
3749	hypnotic control
3750	spaceship plane
3751	stratosphere plane
3752	invisible flying pla
3753	gravity inverting ra
3754	winged men
3755	synthetic flesh dupl
3756	vivifying
3757	Air Navy
3758	invulnerable
3759	paralyzing ray
3760	lethal ray
3761	disintigrating ray
3762	man power flying uni
3763	Sirius
3764	meteor detector
3765	energy screens
3766	telepathic assault
3767	antigravity projecto
3768	gravitational vortex
3769	man powered airplane
3770	heavy water
3771	light water
3772	super race
3773	machine intelligence
3774	world conquest
3775	disintegrating rays
3776	giant walking machin
3777	super civilization
3778	super city
3779	Alpha Centauri
3780	magnetic disintegrat
3781	air pirate
3782	great flying ships
3783	molecular motion dri
3784	cooling suits
3785	Venusians
3786	learning machines
3787	glass domed planets
3788	dark star
3789	mass migration
3790	molecular motion
3791	photon metal
3792	lost in space
3793	one-man flying pack
3794	space patrol
3795	telepathically
3796	Venusian
3797	telepathic helmet
3798	dog people
3799	cosmic ray projector
3800	magnetic ray
3801	matter creator
3802	time distorter
3803	solidified cosmic ra
3804	solid proton screen
3805	super matter creator
3806	flying machine
3807	atomic energy
3808	total matter energy
3809	electronic propulsio
3810	curving space for fl
3811	cathode ray projecto
3812	prolonging youth
3813	inertialess flight
3814	Betelgeuse
3816	force beings
3817	meteor wreck
3818	Interplanetary Lane 
3819	proton beam
3820	Jovian colonist
3821	sentient machine
3822	ultimate machine
3823	green death ray
3824	pure force machine
3825	space police
3826	paralysis ray
3827	paralysis ray shield
3828	total atomic energy
3829	momentum wave propul
3830	meteor shields
3831	flying spy viewer
3832	far viewer
3833	force shield
3834	matter transmitter
3835	neutron beam
3836	material energy
3837	irresistible disinte
3838	gay-lesbian romance
3839	accelerated metaboli
3840	levitation device
3841	mechanical heart
3842	heart transplant
3843	hypnotic thought wav
3844	perpetual motion
3845	magnetic control bea
3846	spy ray
3847	telepathic ray
3848	mind controller
3849	atom worlds
3850	interplanetary viewe
3851	mad genius
3852	heat ray
3853	guide wave
3854	Ceres
3855	hypnosis machine
3856	invisible man
3857	flight disk
3858	time cube
3859	Martian peril
3860	invisible plane
3861	Mad Martian
3862	artificial life
3863	artificial rabbit
3864	hypnolearning
3865	gravity adjustment b
3866	interplanetary sword
3867	iron unitary city
3868	mechanical personali
3869	will control
3870	eugenic system
3871	war insects
3872	space seeds
3873	meteor life
3874	voyeurism
3875	rock solvent
3876	life ray
3877	canals
3878	individual flying sp
3879	Pluto
3880	gravity shield
3881	personal power wings
3882	pyramidal cities
3883	motorized roller ska
3884	glass money
3885	portable disintegrat
3886	paralyzing gun
3887	Saturnians
3888	telepathic mind cont
3889	drug use
3890	Mu
3891	elixir of life
3892	lost land
3893	telepathic receptor
3894	Mars exploration
3895	Mars colonization
3896	disintegrator cannon
3897	insect gigantism
3898	engine stopper
3899	ammunition exploder
3900	insect men
3901	cavern world
3902	thought helmet
3903	arctic agriculture
3904	neutronium
3905	cosmic dreamer
3906	alkali ray
3907	insect race
3908	pure proton cloud
3909	lightning projector
3910	rayograph
3911	ultra-cosmic ray pro
3912	gravity balancer
3913	antigravity repulsio
3914	krypton glow tube ra
3915	quadromomotor
3916	magnetic repulsion r
3917	Jupiterians
3918	Mercurians
3919	Neptunians
3920	sunspots
3921	glaciation
3922	domed city
3923	white dwarf
3924	bacterial universe
3925	personality transfer
3926	dimensional attack
3927	insect control
6176	H. P. Lovecraft
3929	wishing
3930	dimensional world
3931	flying platforms
3932	magnetic antigravity
3933	zed ray
3934	paralysis tube
3935	darkness bomb
3936	invisibility cloak
3937	time cage
3938	robot revolt
3939	broadcast power
3940	super robot
3941	freezing ray
3942	white slaving
3943	materialization bomb
3944	organic disintegrato
3945	materialization rays
3946	electromobiles
3947	mood enhancer
3948	first flight to Venu
3949	time jumps
3950	time stops
3951	planetary crystal sp
3952	intelligent ants
3953	time line
3954	Dragon-like space cr
3955	cosmic cloud
3956	mind transferring
3957	wireless power trans
3958	synthetic food
3959	sex change
3960	space flyer
3961	dark moon
3962	flying culture
3963	flying patrol
3964	apemen
3965	carnivororous plants
3966	telepathic hypnotics
3967	giant brain sacks
3968	Lunar natives
3969	space amoebas
3970	Moon people
3971	hypnotic spider
3972	crystal cities
3973	true humans
3974	Venusian humans
3975	rat men
3976	mechanical thought r
3977	armored air cruiser
3978	heat guns
3979	red molemen
3980	internal sun
3981	yellow molemen
3982	transparent shell ar
3983	homoids
3984	Jupiter humanoids
3985	superstrength pill
3986	tiger man
3987	future city
3988	sun society
3989	opening time capsule
3990	intelligent vampire 
3991	corpuscle world
3992	undersea crystal cit
3993	perpetual youth
3994	Jovian system
3995	free energy from wat
3996	disintegrates water
3997	solar sphere
3998	telepathic
3999	mental power
4000	mind electron
4001	re-integration
4002	chimeras
4003	invisible wing man
4004	replicators
4005	flying saucer
4006	floating man
4007	camouflage
4008	California submerged
4009	undersea nation
4010	fishmen
4011	hydrogen space drive
4012	zombie industries
4013	Jupiter
4014	tractor beam
4015	red spot of Jupiter
4016	gravity control
4017	disintegrator pistol
4018	oxygen concentrator
4019	heavy gravity belt
4020	matter concentrator
4021	living rock
4022	shrinking
4023	living thought
4024	mad scientist monste
