1051	Pathfinder Tales Library	\N
1052	Scribner Classics	\N
1053	Super Ficcion	\N
1054	Colección Best Seller	\N
1055	Espasa Universidad	\N
1056	Cuatro Vientos	\N
1057	Pocket Penguin 70's	\N
1058	Adventure Classics	\N
1059	Aladdin Classics	\N
1060	The International Adventure Library	\N
1061	Beyond Armageddon	\N
1063	Cathedral Classics	\N
1064	Prohyptikon Value Classics	\N
1065	Épées et Dragons	\N
1066	New Windmills	\N
1069	Bentley Standard Novels	\N
1070	Dicks' Standard Plays	\N
1071	Duncombe's ed.	\N
1072	Cock Robin Mystery	\N
1073	Topliners	\N
1074	The Arkham Edition of H. P. Lovecraft	\N
1075	Se-Ed Young Adult Fiction	\N
1076	Science Fiction Classics	\N
1077	Delfinböckerna	\N
1079	The Macabre Quarto	\N
1080	Volland Fairy Books	281017
1081	Airmont Classics	281258
1082	Wheeler Large Print	\N
1083	Gulliver Pocket Library. Famous Stories of All Times	\N
1084	Silver Classic	\N
1085	Arkham House Science Fiction Novel	281124
1088	Kleine Arbeiterbibliothek	\N
1090	Nuggets for Travellers	\N
1091	Airmont Science Fiction	\N
1092	Sta&#322;o si&#281; jutro	\N
1093	Eclipse	\N
1094	Terra	\N
1095	Terra Nova	\N
1096	Fremtidsromanen	\N
1097	Junior-Jongensboeken	\N
1098	Rumfart-serien	\N
1103	Books of Wonder	\N
1106	Neue deutsche Science Fiction	\N
1107	Best of Soviet Science Fiction	\N
1108	ARP	281902
1110	Welt der Abenteuer	\N
1111	Wetenschap en Fantasie	\N
1112	Anomaly	\N
1114	AMS Studies in Cultural History	\N
1115	Science Fiction Club	\N
1116	Fast Track Classics	\N
1117	Essential Classics	\N
1118	Crest Giant	\N
1119	A Ne Pas Lire la Nuit	\N
1122	Twelfth Planet Press novella series	\N
1123	Collins Classics Plus	\N
1124	A Storyteller Book	\N
1125	Wishbone Classic	\N
1126	J'ai Lu - Épouvante	282661
1133	Methuen Notes	\N
1134	Scary Fairy Tales	\N
1136	Utopia Zukunft	344302
1137	Edition SF im Hohenheim Verlag	\N
1138	Harlequin Nocturne Cravings	\N
1141	Siren Publishing Menage Everlasting	\N
1143	Panther Science	\N
1146	Perry Rhodan Planetenromane	\N
1147	Heyne Perry Rhodan	340589
1148	The Viking Portable Library	\N
1149	&#1047;&#1072;&#1082;&#1083;&#1103;&#1090;&#1099;&#1077; &#1084;&#1080;&#1088;&#1099;	\N
