428	Prometheus Award for Best Libertarian SF Novel	33	1	\N
429	Special Award Winners	33	30	\N
430	Best Professional Artist	34	\N	\N
431	Best Professional Editor	34	\N	\N
432	Dramatic Presentation	34	\N	\N
433	Dramatic Presentation, Long Form	34	\N	\N
434	Dramatic Presentation, Short Form	34	\N	\N
435	Editor, Short Form	34	\N	\N
436	Fan Artist	34	\N	\N
437	Fan Writer	34	\N	\N
438	Fanzine	34	\N	\N
439	Novel	34	2	\N
440	Novelette	34	19	\N
441	Novella	34	15	\N
442	Profesional Editor	34	\N	\N
443	Professional Artist	34	\N	\N
444	Related Book	34	\N	\N
445	Semi-Prozine	34	\N	\N
446	Short Story	34	24	\N
448	Grand Master Award	35	\N	\N
449	Long Poem	35	\N	\N
451	Short Poem	35	\N	\N
452	Best Buns (Either Gender)	36	\N	\N
453	Convention	36	\N	\N
454	Dramatic Presentation	36	\N	\N
455	Editor	36	34	\N
456	Editor (Books)	36	\N	\N
457	Editor (Magazines)	36	\N	\N
458	Fan Artist	36	\N	\N
459	Fan Artist (Conventions)	36	\N	\N
460	Fan Artist (Fanzines)	36	\N	\N
461	Fan Writer	36	\N	\N
462	Fanzine	36	\N	\N
463	Most Attractive Cover (Books)	36	\N	\N
464	Most Attractive Cover (Magazines)	36	\N	\N
465	Most Attractive Female Artist	36	\N	\N
466	Most Attractive Female Editor	36	\N	\N
467	Most Attractive Female Fan	36	\N	\N
468	Most Attractive Female Writer	36	\N	\N
469	Most Attractive Male Artist	36	\N	\N
470	Most Attractive Male Editor	36	\N	\N
471	Most Attractive Male Fan	36	\N	\N
472	Most Attractive Male Writer	36	\N	\N
473	Novel	36	2	\N
474	Novelette	36	19	\N
475	Novella	36	15	\N
476	Pro Artist	36	\N	\N
477	Pro Editor - Books	36	\N	\N
478	Pro Editor - Magazines	36	\N	\N
479	Semi-Prozine	36	\N	\N
480	Short Story	36	24	\N
481	The Science Fiction Book Club's Book of the Year Award	37	\N	\N
482	Edward E. Smith Memorial Award for Imaginative Fiction	38	\N	\N
483	Adult	39	\N	\N
484	Sunburst award for a Canadian novel in previous year.	39	\N	\N
485	Young Adult	39	\N	\N
486	Young Adult Work	39	\N	\N
487	Life Achievement	40	\N	\N
488	Lifetime Achievement \		40	\N	\N
489	Lifetime Achievement	40	\N	\N
490	Silver Hammer Award 	40	\N	\N
491	Special Small Press Award	40	\N	\N
492	Special Trustees Award	40	\N	\N
493	Specialty Press Award \		40	\N	\N
494	Specialty Press Award 	40	\N	\N
495	Superior Achievement in a Comic Book, Graphic Novel or Other Illustrated Narrative	40	\N	\N
496	Superior Achievement in a Fiction Collection	40	27	\N
497	Superior Achievement in a First Novel	40	13	\N
498	Superior Achievement in a Novel	40	3	\N
499	Superior Achievement in a Novelet	40	\N	\N
500	Superior Achievement in a Novella	40	\N	\N
501	Superior Achievement in a Poetry Collection	40	\N	\N
502	Superior Achievement in a Screenplay	40	\N	\N
503	Superior Achievement in a Work for Young Readers	40	\N	\N
504	Superior Achievement in Alternative Forms	40	\N	\N
505	Superior Achievement in an Anthology	40	29	\N
506	Superior Achievement in an Illustrated Narrative	40	\N	\N
507	Superior Achievement in Long Fiction	40	17	\N
508	Superior Achievement in Non-Fiction	40	31	\N
509	Superior Achievement in Other Media	40	\N	\N
510	Superior Achievement in Short Fiction	40	23	\N
511	The Richard Laymon Award 	40	\N	\N
512	The Richard Laymon Award (President's Medal)	40	\N	\N
513	Trustees Hammer Award	40	\N	\N
514	Honorable Mention	41	5	\N
515	Second Place	41	2	\N
516	Shortlist	41	4	\N
517	Special Citation	41	\N	\N
518	Third Place	41	3	\N
519	Winner	41	1	\N
520	Best Long Form Alternate History	42	\N	\N
521	Best Short Form Alternate History	42	\N	\N
522	Special Achievement in Alternate History	42	\N	\N
523	Gender-bending SF	43	\N	\N
524	Retrospective	43	\N	\N
525	Special Recognition Award	43	\N	\N
526	Anthology	44	\N	\N
527	Artist	44	\N	\N
528	Best Anthology	44	28	\N
529	Best Anthology/Collection (old)	44	\N	\N
530	Best Artist	44	\N	\N
531	Best Collection	44	26	\N
532	Best Novel	44	1	\N
533	Best Novella	44	16	\N
534	Best Short Fiction	44	22	\N
535	Collection	44	\N	\N
536	Life Achievement	44	\N	\N
538	Novella	44	15	\N
541	Special Award, Non-Professional	44	\N	\N
542	Special Award, Professional	44	\N	\N
543	Special Convention Award	44	\N	\N
544	James White Award	45	\N	\N
545	Ray Bradbury Award	46	\N	\N
546	Andre Norton Award	47	\N	\N
547	Robert A. Heinlein Award	48	\N	\N
548	William Atheling Jr. Award for Criticism or Review	49	\N	\N
549	Best Artwork	50	600	\N
550	Best Collected Work	50	500	\N
551	Best New Talent	50	900	\N
552	Best Novel	50	100	\N
553	Best Novella / Novelette	50	300	\N
554	Best Short Story	50	400	\N
555	Best Young Adult Novel	50	200	\N
556	Best Youth Novel	50	205	\N
557	Norma K. Hemming Award	51	\N	\N
558	Book of the Year	52	\N	\N
559	Children's Chapter Book/Middle Grade	52	\N	\N
560	General Fiction	52	\N	\N
561	Science fiction/fantasy/horror	52	\N	\N
562	Ruth Schwartz Children's Book Award	53	\N	\N
563	YA-Middle Reader	53	\N	\N
564	Best Book	54	\N	\N
565	Best SF or Fantasy Movie	23	\N	\N
566	Best Novel or Novelette	23	\N	\N
567	Oustanding Movie	23	\N	\N
568	Outstanding Artist	23	\N	\N
569	Best Feature Writer	23	\N	\N
570	Best Artist	23	\N	\N
571	Most Promising New Author	23	\N	\N
572	Best Book Reviewer	23	\N	\N
573	Best Fan Editor or Staff of Editors	23	\N	\N
574	Best Artist	9	\N	\N
575	Best New SF Author or Artist	23	\N	\N
576	Excellence in Fact Articles	23	\N	\N
577	#1 Fan Personality	23	\N	\N
579	Best Professional Artwork	50	600	398431
580	Best Professional Production / Publication	50	700	\N
581	Australian Science Fiction, Best Novel	16	200	\N
582	Australian Science Fiction, Best Short Fiction	16	300	\N
584	Best Fan Publication in Any Medium	16	6250	\N
586	August Derleth Award for Best Horror Novel	7	1	\N
587	Best Screenplay	7	\N	\N
588	The PS Publishing Independent Press Award	7	\N	\N
589	Best Novella	50	320	\N
590	Services To Science Fiction, Fantasy and Horror	50	1100	\N
591	Services To Fandom	50	1000	\N
592	Phoenix Award	55	1	\N
593	Best Production / Publication	50	700	\N
594	Best Novel - Adult	50	110	\N
595	Best Novel - Young Adult	50	200	\N
596	Best Anthology	50	520	\N
597	Services to Science Fiction	50	1100	\N
600	Best Professional Production	50	700	\N
599	Services to Science Fiction and Fantasy	50	1100	\N
601	Newbery Medal	56	1	406510
602	Distinguished Service	41	50	\N
603	Special Award	50	1500	\N
604	Best Art Work	50	610	409558
605	Best Dramatic Presentation - Long Form	50	740	\N
608	Honourable Mention List (Runner Up List)	51	20	\N
609	Short List - other	51	30	\N
612	Best Novel	58	1	\N
610	Best Professional Achievement	16	2000	\N
611	Best Achievement	16	2010	\N
615	Best Short Fiction	58	4	\N
616	Best Collection	58	5	\N
617	Best Anthology	58	6	\N
618	Carnegie Medal	59	1	423176
619	Fidler Award	60	1	\N
620	Children's Fiction	4	600	\N
621	Graphic Novel / Illustrated Work	4	700	\N
625	Best Japanese Long Story	61	1	\N
632	Superior Achievement in a Young Adult Novel	40	\N	\N
633	Superior Achievement in a Graphic Novel	40	\N	\N
634	Best Japanese Short Story	61	2	\N
635	Best Translated Long Story	61	3	\N
636	Best Translated Short Story	61	4	\N
637	Best Artist	61	5	\N
638	Best Nonfiction	61	6	509701
639	Special Award	61	7	\N
