1698	Berbora / Tyron	\N	\N
1700	Dannus / Reglathium	\N	\N
1705	Ro-lan	\N	\N
1709	Captain Future	\N	\N
1721	Starwolf	\N	\N
1724	Pit Dragon	\N	\N
1727	Star Wars: The Corellian Trilogy	207	\N
1734	Legion of Time	\N	\N
1736	Seetee	\N	\N
1738	Cuckoo	\N	\N
1740	Starchild	\N	\N
1743	Jim Eden	\N	\N
1746	Med Service	\N	\N
1748	To the Stars (Leinster)	\N	390489
1751	Land of the Giants	\N	\N
1754	Drums of Tapajos	\N	\N
1756	Green Sky	\N	\N
1759	The Belfry Witches	\N	\N
1760	Mongo	\N	\N
1761	Dragons Can Only Rust	\N	\N
1762	The Twelve Treasures	\N	\N
1763	Anita Blake	\N	\N
1764	The Wars of Light and Shadow	\N	\N
1765	The Wars of Light and Shadow Arc II	1764	\N
1768	The Wars of Light and Shadow Arc III: Alliance of Light	1764	\N
1770	Geodyssey	\N	\N
1771	The Helmsman	\N	\N
1778	Time Scout	\N	\N
1779	Guardian	\N	\N
1781	Meri	\N	\N
1784	Dancing Gods	\N	\N
1789	Changewinds	\N	\N
1792	The Rings of the Master	\N	\N
1796	The Quintara Marathon	\N	\N
1799	G.O.D. Inc.	\N	\N
1805	Soul Rider	\N	\N
1809	Well World	\N	\N
1810	Saga of the Well of Souls	1809	\N
1815	The Watchers at the Well	1809	\N
1819	The Wonderland Gambit	\N	\N
1826	Fantastic Four	30173	\N
1827	Wizardry	\N	\N
1831	The Secret File of Dakota King	\N	\N
1835	Star Trek: The Next Generation	314	\N
1850	Hoka	\N	\N
1851	Dilbia	\N	\N
1853	Underseas	\N	\N
1860	Sea People	\N	\N
1870	Crisis of Empire	\N	\N
1874	Northworld	\N	\N
1877	General / Raj Whitehall	\N	\N
1882	Space Cops	\N	\N
1891	Star Trek Fotonovel	21149	\N
1987	Spider-Man Universe	30173	\N
1988	Spider-Man	1987	\N
1990	Night Threads	\N	\N
1991	Battletech Universe	\N	\N
1992	Battletech	1991	\N
1993	Crystal Singer (Continuum Serial)	1035	\N
1996	Warrior	\N	\N
2000	Apostle of Insanity	29324	\N
2005	The Quest for the Trilogy	21825	\N
2006	Small Colonial War	\N	\N
2008	Dragonsword	\N	\N
2011	The Strands	\N	\N
2014	Book of the Kingdoms	\N	\N
2017	Godwars	\N	\N
2020	Raven	\N	\N
2026	Star Trek: Voyager	314	\N
2046	Sipstrassi or Stones of Power	\N	\N
2050	Macedon	\N	\N
2052	Hawk Queen	\N	\N
2053	The Fall of the Towers	\N	\N
2058	SERRAted Edge	12484	\N
2059	Parric	\N	\N
2062	Diego	\N	\N
2065	Kent Montana	\N	\N
2070	Quest For The White Duck	\N	\N
2075	Oxrun Trilogy	802	\N
2081	Private School	\N	\N
2087	Lincoln Blackthorne	\N	\N
2094	Trillium / World of the Three Moons	\N	\N
2098	Survivors	\N	\N
2100	The Professionals	\N	\N
2104	Berserker	\N	\N
2107	Night Hunter	\N	\N
2113	Umbrella / Fillmore	\N	449790
2115	Initiate Brother	\N	\N
2118	Cycle of Fire	\N	\N
2121	The Heirs of Saint Camber	642	\N
2141	Tales Of Aeron	209	\N
2143	Blackmantle	209	\N
2147	Westria	\N	\N
2154	Chronicles of Fionn mac Cumhal	\N	\N
2156	Darksword	\N	\N
2159	The Death Gate Cycle	\N	\N
2166	Rose of the Prophet	\N	\N
2169	Dragonlance	\N	\N
2170	Dragonlance: Chronicles	2169	\N
2173	Dragonlance: Legends Trilogy	2169	395525
2177	Mathew Swain	\N	\N
2181	Ramon and Morgan	\N	\N
2190	Imaro	39505	\N
2193	Legrange League	\N	\N
2195	Ultima Saga	\N	\N
2197	Walensor	\N	\N
2199	Hellflower	\N	\N
2202	Arthur War Lord	\N	\N
2204	The Summer of Magic Quartet	\N	\N
2206	Unwound Way	\N	\N
2209	Titan (Patrick H. Adkins)	\N	\N
2212	Keys to the Dimensions	\N	\N
2220	Dray Prescot	\N	\N
2257	Odan the Half-God	\N	\N
2260	Hook	\N	\N
2264	Emancipator	\N	\N
2272	Time Patrol	\N	\N
2278	Magic: The Gathering	\N	\N
2280	Angel Fire	\N	\N
2282	Dragonlance: Warriors	2169	\N
2284	Planet of Adventure	\N	\N
2288	Gaean Reach	\N	\N
2291	Alastor Cluster	2288	\N
2294	Demon Princes	2288	\N
2299	Cadwal Chronicles	2288	\N
2302	Woman of the Iron People	\N	\N
2304	Horsegirl	\N	\N
2307	Twilight's Kingdom	\N	\N
2309	Earth's Children	\N	\N
2313	Saga of Thorgrim	\N	\N
2315	Brothers of the Dragon	\N	\N
2319	Frost	\N	\N
2322	Ashlu Cycle	\N	\N
2324	Naphar	\N	\N
2327	Timepiece	\N	\N
2330	The Probability Man	\N	\N
2333	Keegan	\N	\N
2335	Witchfinder	\N	\N
2337	Jackson	\N	\N
2341	Flameweaver	\N	\N
2343	Eridan	\N	\N
2346	Baphomet	\N	\N
2348	The Apastron Reports	\N	\N
2350	Aubrey Knight	\N	\N
2353	Dream Park	39707	\N
2356	Blessing Trilogy	\N	\N
2359	Aldair	\N	\N
2364	Wiley Moss Mystery	\N	\N
2365	Judge Dredd Universe	\N	\N
2375	Soul of the Robot	\N	\N
2377	Gendering	\N	\N
2379	Ni-Lach	\N	\N
2383	Jewels of Elvish	\N	\N
2385	Seventh Moon	34925	\N
2387	John Harrison / Biofab War	\N	\N
2392	Jan Darzek	\N	\N
2397	Saucers	\N	\N
2399	Gaming Magi	\N	\N
2402	Anthi	\N	\N
2404	Operation StarHawks	\N	\N
2410	Time-Trap	\N	\N
2411	Midnight Zoo	\N	\N
2412	Star Trek Original TV Series Adaptations	21149	\N
2425	Star Trek: Bantam Books	21149	\N
2439	The Others (Christine Warren)	\N	\N
2442	Khyren	\N	\N
2444	World of Alfar Universe	\N	\N
2445	World of Alfar	2444	\N
2449	Wizard's War	2444	\N
2453	Clan of the Warlord	\N	\N
2456	Eric John Stark	551	\N
2462	The Fall Revolution	\N	\N
2463	Inland Trilogy	\N	\N
2466	Divine Endurance	\N	\N
2469	Frank Carlucci	\N	\N
2472	Omni Odysseys	\N	\N
2474	The Dream Compass	\N	\N
2476	Dance of the Gods	\N	\N
2480	Quadroped	\N	\N
2484	Demu	\N	\N
2487	Rissa Kerguelen	18181	\N
2490	Biography of the Life of Manuel	\N	\N
2512	The Nightmare has Triplets	\N	\N
2515	Cyborg	23915	\N
2519	Messiah Stone	\N	\N
2521	Mancer	\N	\N
2524	Ecotopia	\N	\N
2526	Saturnalia	\N	\N
2530	The Secret Country Trilogy	\N	\N
2535	Seventh Sword	\N	\N
2538	Rap	\N	\N
2539	A Man of His Word	2538	\N
2543	A Handful of Men	2538	\N
2547	Omar	\N	\N
2549	Mitch Helwig	\N	\N
2550	Wizard Crystal / Wizard of the Grove	\N	\N
2552	Quarters	\N	\N
2553	Grey Isles	\N	\N
2559	Draka	\N	\N
2562	Fifth Millenium	\N	\N
2566	The Quintaglio Ascension	\N	\N
2567	Tomoe Gozen	\N	\N
2570	Gor	\N	\N
2595	Telnarian Histories	\N	\N
2598	Thongor	\N	\N
2604	Great Imperium	\N	\N
2607	The Man Who Loved Mars	\N	\N
2611	Thoth	\N	\N
2613	Chronicles of Kylix	\N	\N
2621	Callisto	\N	\N
2629	Green Star Rises	\N	\N
2634	Zarkon	\N	\N
2639	Zanthodon	\N	\N
2644	Terra Magica	\N	\N
2648	Neverness	1090	\N
2649	Dark Border	\N	\N
2654	Bring Me the Head of Prince Charming	\N	\N
2659	Omega Point	\N	\N
2662	Bernal One	\N	\N
2664	Deathgift	\N	\N
2666	Boomerang / The Shade Trilogy	\N	\N
2669	Battlestar Galactica 1	24123	\N
2682	Timewars	\N	\N
2694	Reluctant Sorcerer	\N	\N
2696	Wizard	\N	\N
2697	The Wizard of 4th Street	2696	\N
2705	Catseye Gomez	2696	\N
2706	Friday the 13th	\N	\N
2713	Steele	\N	\N
2720	Tribe of One	1391	\N
2732	Atta Olivia Clemens	536	\N
2735	Charles Spotted Moon	\N	\N
2739	Michael	\N	\N
2741	Terminator Salvation	11964	\N
2742	Servants of the Ark	19597	\N
2745	Unbalanced Earth	19597	\N
2749	Amphibians	\N	\N
2751	Deluge	\N	\N
2753	Margaret Cranleigh	\N	\N
2756	Alacrity Fitzhugh	\N	\N
2759	Coramonde	\N	\N
2765	Robotech	\N	\N
2798	Magira	\N	\N
2801	Croyd	\N	\N
2802	Croyd Spacetime Maneuvres	2801	\N
2803	St. Cyr Interplanetary Detective	2801	\N
2814	Chris Godfrey of U.N.E.X.A.	\N	\N
2837	Le Livre de Swa	\N	\N
2842	Coop	\N	\N
2844	Black Current	\N	\N
2847	Zarathandra	\N	\N
2858	Dominic Flandry	698	\N
2870	Battle Circle	\N	\N
2873	Bio of a Space Tyrant	\N	\N
2878	Cluster	\N	\N
2886	Mode	\N	\N
2889	Of Man and Manta	\N	\N
2892	Tarot	2878	\N
2907	Adventures of Kelvin of Rud	\N	\N
2912	Tales in Time	\N	\N
2914	Babylon 5	18091	\N
2917	To Save the Sun	\N	\N
2919	The Last Viking	\N	\N
2922	Arwen	\N	\N
2924	Atlantean	\N	391110
2936	Tall Stones / Sacred Stones	\N	\N
2939	Car Warriors	\N	\N
2941	Chaos Chronicles	\N	\N
2943	Star Rigger	\N	\N
2948	Starstream	\N	\N
2952	Artos / The Strange World of John Reddy	\N	\N
2955	Game Of Fox and Lion	\N	\N
