338	The Lost Dimensions of Reality	1985-00-00	An	1	3	\N
339	Hot Rocks and Water	1985-00-00	An	1	3	\N
340	The Long Stern Chase: A Speculative Exercise	1986-00-00	An	1	3	\N
341	The Curious Case of the Humanoid Face--On Mars	1986-00-00	An	1	3	\N
342	A Little More Pollution, Please!	1986-00-00	An	1	3	\N
343	Making Star Trek Real	1986-00-00	An	1	3	\N
344	Fermi Paradox--The Final Solution?	1986-00-00	An	1	3	\N
345	Nanotechnology	1987-00-00	An	1	3	\N
346	Memetics and the Modular Mind	1987-00-00	An	1	3	\N
347	Moonbase Orientation Manual	1987-00-00	An	1	3	\N
348	Universe - The Ultimate Artifact?	1987-00-00	An	1	3	\N
349	Cheap but not Dirty: Proposal for a Spaceplane	1987-00-00	An	1	3	\N
350	An Introduction to Psychohistory	1988-00-00	An	1	3	\N
351	Extraterrestrial Intelligence and the Interdict Hypothesis	1988-00-00	An	1	3	\N
352	24th Century Medicine	1988-00-00	An	1	3	\N
353	Building a Better Biosphere	1988-00-00	An	1	3	\N
354	Laughing All the Way to Orbit	1988-00-00	An	1	3	\N
355	The Ape-Man Within Us	1989-00-00	An	1	3	\N
356	Zero Gravity and the Immune System: A Challenge to Man's Survival in Space	1989-00-00	An	1	3	\N
357	On Building an Earth-Like Planet	1989-00-00	An	1	3	\N
358	Hypermedia and the Singularity	1989-00-00	An	1	3	\N
359	The Economics of Interstellar Commerce	1989-00-00	An	1	3	\N
360	Sixty Astounding Years	1990-00-00	An	1	3	\N
361	Where Buffalo Roam...	1990-00-00	An	1	3	\N
362	New Hopes for a Very Old Disease: Cancer Therapies for the 1990s	1990-00-00	An	1	3	\N
363	Scientific Diversions	1990-00-00	An	1	3	\N
364	Nuclear Rocketry Using Indigenous Propellants: The key to the Solar System	1990-00-00	An	1	3	\N
365	Taking the Shuttle to the Moon	1990-00-00	An	1	3	\N
366	Fire, Brimstone -- And Maybe Life?	1990-00-00	An	1	3	\N
367	The Mote in NASA's Eye	1991-00-00	An	1	3	\N
368	Mars Direct: A Proposal for the Rapid Exploration and Colonization of the Red Planet	1991-00-00	An	1	3	\N
369	Global Catastrophes and Mass Extinctions	1991-00-00	An	1	3	\N
370	Hydrogen Time	1991-00-00	An	1	3	\N
371	Whatever Happened to the Little Ice Age?	1991-00-00	An	1	3	\N
372	Once and Future Mars	1991-00-00	An	1	3	\N
373	The Demon Under Hawaii	1992-00-00	An	1	3	\N
374	Manufacturing Magic	1992-00-00	An	1	3	\N
375	Chicxulub: The Smoking K-T Gun?	1992-00-00	An	1	3	\N
376	The Magnetic Sail	1992-00-00	An	1	3	\N
377	A Visit to Suprajupiter	1992-00-00	An	1	3	\N
378	Single Stage to Infinity!	1993-00-00	An	1	3	\N
379	FAT-Eating Logic Bombs and the Vampire Worm	1993-00-00	An	1	3	\N
380	Comes the Revolution...	1993-00-00	An	1	3	\N
381	Goat Island	1993-00-00	An	1	3	\N
382	Is AIDS an Autoimmune Disease?	1993-00-00	An	1	3	\N
383	The Rooster Crows at White Sands	1994-00-00	An	1	3	\N
384	The Bug, the Moose, and Chapter 24	1994-00-00	An	1	3	\N
385	Return to the Moon	1994-00-00	An	1	3	\N
386	How to Find a Starship	1994-00-00	An	1	3	\N
387	Multiple Comet Strikes on Jupiter	1994-00-00	An	1	3	\N
388	A Handful of Heresies	1995-00-00	An	1	3	\N
389	Fact-Free Science	1995-00-00	An	1	3	\N
390	The Martian Frontier	1995-00-00	An	1	3	\N
391	Faster-Than-Light	1995-00-00	An	1	3	\N
392	The Artemis Project: Selling the Moon	1995-00-00	An	1	3	\N
393	Black Horse: One Stop To Orbit	1995-00-00	An	1	3	\N
394	The Coming of the Money Card: Boon or Bane?	1996-00-00	An	1	3	\N
395	Prospectus	1996-00-00	An	1	3	\N
396	Population and the Future	1996-00-00	An	1	3	\N
397	Will They Let the Spaceships Fly?	1996-00-00	An	1	3	\N
398	The Future of Computers	1996-00-00	An	1	3	\N
399	Cosmological Darwinism	1997-00-00	An	1	3	\N
400	Science Fact: Paradigm Shifty Things	1997-00-00	An	1	3	\N
401	Just How "Average" is the Solar System?	1997-00-00	An	1	3	\N
402	Biology at the Extremes	1997-00-00	An	1	3	\N
403	Cold Fusion: The "Miracle" is no Mistake	1997-00-00	An	1	3	\N
404	The World's Simplest Fusion Reactor	1998-00-00	An	1	3	\N
405	Pathfinder Journal: Adventures in the Mars Business	1998-00-00	An	1	3	\N
